comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting,sensitivity_family
metabolic,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,9.50789586673384e-05,-0.002692234608135,0.001005030635999,0.0026433017671309,-2.030714771840855,-2.016207163986945,0.8753801363967999,0.8647060214250373,0.0145076078539094,-0.0106741149717626,class_weighted_refit,Class imbalance
renal,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model1_renal,0.0043470002616855,0.0230372180898936,0.0005709144852875,-0.001068984156687,-1.9597771091241545,-1.999742035758468,0.9667215704896596,0.9664513094834034,-0.0399649266343131,-0.0002702610062562,class_weighted_refit,Class imbalance
renal,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model1_renal,0.0040685942121325,0.0253902392071033,0.0032451398690178,0.0064836246411899,-2.0596066410346388,-2.0592896389115465,0.9930416837797376,0.9810309843953484,0.0003170021230922,-0.0120106993843892,class_weighted_refit,Class imbalance
renal,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model1_renal,0.0040582842678597,0.002391376597965,0.0049326456998458,0.0096933276208982,-2.121793262388353,-2.0995297101032486,0.9141963555993504,0.8949827959453613,0.0222635522851044,-0.0192135596539889,class_weighted_refit,Class imbalance
renal,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model1_renal,0.0048908946205653,0.0242490812700567,0.0046686229933501,0.0091698852667805,-2.0074717574637315,-2.0011953400877056,0.9242202136649676,0.9187234773096734,0.0062764173760259,-0.0054967363552941,class_weighted_refit,Class imbalance
renal,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model1_renal,0.0070043316365094,0.019417431962613,0.0012829069778945,0.0008786531934096,-2.0684549023422565,-2.10365064379306,0.9574373050347402,0.967437880998248,-0.0351957414508037,0.0100005759635078,class_weighted_refit,Class imbalance
renal,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model1_renal,0.0049754491195354,0.0145172349118339,0.0050147695561965,0.0092423013874329,-2.1496615857464563,-2.130942117454148,1.0285281661831602,1.0025420503230174,0.0187194682923084,0.0259861158601428,class_weighted_refit,Class imbalance
renal,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model1_renal,0.0019858181234351,0.0097130494098957,0.0038026903403035,0.007324839901954,-2.0644431551293536,-2.040571079638453,0.9741983337244106,0.949641863436944,0.0238720754909005,-0.0245564702874666,class_weighted_refit,Class imbalance
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.0148754444963662,0.0501966610967811,0.002741281297062,0.0094846075388063,-0.0374520110084045,0.0186458212947046,0.9169226161188438,0.9781258590066746,0.0188061897136999,0.0612032428878307,main_observed_class_distribution,Class imbalance
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0095683554904488,0.0193621061803624,0.001088465735984,0.0044336129145171,0.0853609644835697,0.0503961547853141,1.034723669788501,1.022172586746196,0.0349648096982556,0.012551083042305,main_observed_class_distribution,Class imbalance
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0052293467566936,0.0034121036996984,0.0005613712161819,0.0023157263317056,-0.1676307334190429,-0.1610416261780594,0.9693975315895426,0.956961327967634,0.0065891072409834,-0.0124362036219086,main_observed_class_distribution,Class imbalance
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0066550482356013,0.0220154527550148,0.001501073556298,0.0041447253686093,-0.0436802548665805,-0.0200238946295165,0.9109750364633608,0.9122004420246544,0.0236563602370639,0.0012254055612934,main_observed_class_distribution,Class imbalance
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037145581308206,0.0184903933438426,0.0016141680773976,0.0033570709703926,0.1728778828919388,0.0875422888961142,1.1480926140439265,1.1188491241776124,0.0853355939958245,0.029243489866314,main_observed_class_distribution,Class imbalance
