comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,uacr_method,sensitivity_family
combined,elastic_net,2009-2010,2567,262,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.004918577697595,0.0057127162049971,0.0005895170150414,0.0023031065969474,-0.1579770980766204,-0.1438768449829056,0.9708850067843178,0.9592774200020306,0.0141002530937147,-0.0116075867822871,stabilized_ipw_complete_case,UACR handling
combined,elastic_net,2011-2012,2273,229,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.006317435251272,0.0237087775887361,0.0014362458505983,0.0039678523037257,-0.0618265520401217,-0.0453056041935263,0.902705205040758,0.901572457059889,0.0165209478465953,-0.0011327479808689,stabilized_ipw_complete_case,UACR handling
combined,elastic_net,2013-2014,2342,236,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0060648755176224,0.0241308455379111,0.0019609064200199,0.0045389094279903,0.1651187555394996,0.1047999116988417,1.1450872553631206,1.133774667294443,0.0603188438406579,0.0113125880686772,stabilized_ipw_complete_case,UACR handling
combined,elastic_net,2015-2016,2222,261,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0087455192243143,0.0344693182554131,0.0017290237002245,0.0054432396726453,0.1397196903762714,0.1715401095407056,1.1213236461395122,1.1286591939164117,-0.0318204191644342,-0.0073355477768992,stabilized_ipw_complete_case,UACR handling
combined,elastic_net,2017-2018,2250,277,combined_fasting_weight_x_stabilized_uacr_ipw,model0_paired_combined,model4_combined,0.0017016651919226,0.0238500468157759,0.0002997753477957,0.0003152911758192,-0.1979559062061905,-0.223688685432792,0.88542470467012,0.8510613511537,-0.0257327792266014,-0.03436335351642,stabilized_ipw_complete_case,UACR handling
renal,elastic_net,2005-2006,4305,495,combined_mec_weight_x_stabilized_uacr_ipw,model0_core,model1_renal,0.0037919414663707,0.0233177290041257,0.001483250707036,0.003826842732046,0.1294781795942767,0.0929444450639667,1.0037591764161842,1.0108111637957633,0.0365337345303099,-0.0070519873795791,stabilized_ipw_complete_case,UACR handling
renal,elastic_net,2007-2008,5467,626,combined_mec_weight_x_stabilized_uacr_ipw,model0_core,model1_renal,0.0047139096848142,0.0266643844098831,0.0012570897111232,0.003495968878371,0.0365300828160807,0.0486270967982415,1.0122167532375417,1.0171446730243938,-0.0120970139821607,-0.0049279197868523,stabilized_ipw_complete_case,UACR handling
renal,elastic_net,2009-2010,5860,617,combined_mec_weight_x_stabilized_uacr_ipw,model0_core,model1_renal,0.0036002736214906,0.001974742975241,0.000270270435232,0.0013080645183737,-0.1533965662393906,-0.1609176642584616,0.9545614237444602,0.937507041948222,-0.0075210980190709,-0.017054381796238,stabilized_ipw_complete_case,UACR handling
renal,elastic_net,2011-2012,5143,515,combined_mec_weight_x_stabilized_uacr_ipw,model0_core,model1_renal,0.0061933119868323,0.0272297286229962,0.0012902899497802,0.0039418711279034,-0.0849204547227777,-0.0579399015667028,0.942271190235668,0.9522274798318572,0.0269805531560748,0.0099562895961892,stabilized_ipw_complete_case,UACR handling
renal,elastic_net,2013-2014,5403,543,combined_mec_weight_x_stabilized_uacr_ipw,model0_core,model1_renal,0.0075771929145204,0.0184737444999276,0.0013590762566226,0.0043980628156079,-0.0542257737918802,-0.0431621340394399,0.9881433143930732,1.010956430336532,0.0110636397524402,0.0009002552703947,stabilized_ipw_complete_case,UACR handling
