comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,uacr_method
renal,elastic_net,2005-2006,4305,495,combined_mec_weight,model0_core,model1_renal,0.0039351931365206,0.0244445601800146,0.001498353173345,0.0039192315960552,0.1254936723698448,0.0934370659369762,1.0023003239445007,1.010293852973236,0.0320566064328685,-0.0079935290287351,complete_case_refit
renal,elastic_net,2007-2008,5467,626,combined_mec_weight,model0_core,model1_renal,0.0042508693895083,0.0252317725546618,0.0011364625186456,0.0031518555879546,0.0310974940691428,0.0389847254263278,1.0092398181598186,1.0119156971528571,-0.0078872313571849,-0.0026758789930385,complete_case_refit
renal,elastic_net,2009-2010,5860,617,combined_mec_weight,model0_core,model1_renal,0.0035526621561343,0.0020826509936185,0.0002855848321185,0.0013203416818621,-0.1518607193671436,-0.1592662641288044,0.9546608415271964,0.9382658952709176,-0.0074055447616607,-0.0163949462562786,complete_case_refit
renal,elastic_net,2011-2012,5143,515,combined_mec_weight,model0_core,model1_renal,0.006424699329145,0.0266470774121535,0.0012760413350502,0.0039700006609067,-0.0914134688059647,-0.0570405175998994,0.9401316709668492,0.9530117883052364,0.0343729512060652,0.0128801173383873,complete_case_refit
renal,elastic_net,2013-2014,5403,543,combined_mec_weight,model0_core,model1_renal,0.0073189334280509,0.0185945115107664,0.0013406320627708,0.0042780981232034,-0.0531535771532043,-0.0425087230488212,0.9889442167893588,1.0108161947667784,0.010644854104383,0.0002395884438628,complete_case_refit
renal,elastic_net,2015-2016,5279,570,combined_mec_weight,model0_core,model1_renal,0.0055993539929303,0.0141125169964034,0.0007693559201253,0.0026382550368663,0.060450906119013,0.0546023730206687,1.0741696602601252,1.0589288378379185,0.0058485330983442,0.0152408224222067,complete_case_refit
renal,elastic_net,2017-2018,5073,613,combined_mec_weight,model0_core,model1_renal,0.0016762583387442,0.0108309431082429,0.0001478413307935,0.00056642451429,0.0104056095332158,0.0059372098532896,0.993822873788151,0.978363694978758,0.0044683996799262,-0.015459178809393,complete_case_refit
renal,xgboost,2005-2006,4305,495,combined_mec_weight,model0_core,model1_renal,0.0032526718013119,0.0133619041773399,0.0013714882524429,0.0032778694714312,0.3467989901650132,0.1496168989534471,1.0880055365645127,1.0046872046585622,0.197182091211566,0.0833183319059505,complete_case_refit
renal,xgboost,2007-2008,5467,626,combined_mec_weight,model0_core,model1_renal,0.001442244262362,0.0251034042408565,0.0011014447898035,0.0022292275873111,0.1995657169530936,0.198131205211175,1.0911738945851996,1.0917229648831308,0.0014345117419186,-0.0005490702979311,complete_case_refit
renal,xgboost,2009-2010,5860,617,combined_mec_weight,model0_core,model1_renal,0.0032899072326832,0.0007580241969142,0.0001378445158414,0.0010532889137577,-0.037394262475409,-0.0303037400008114,1.0116829576924091,0.99945766412886,0.0070905224745976,0.011140621821269,complete_case_refit
renal,xgboost,2011-2012,5143,515,combined_mec_weight,model0_core,model1_renal,0.0054071273980166,0.0259070029926694,0.0009310610362623,0.0033028409062121,-0.0851262543633676,-0.0553354363072817,0.925547771036433,0.9463909097492622,0.0297908180560858,0.0208431387128291,complete_case_refit
renal,xgboost,2013-2014,5403,543,combined_mec_weight,model0_core,model1_renal,0.0052384253387905,0.0014618411325337,0.0006342379814286,0.0026666823774494,-0.1848928850853222,-0.1833355476697282,0.9322091879364652,0.9474164754920572,0.0015573374155939,0.0152072875555921,complete_case_refit
renal,xgboost,2015-2016,5279,570,combined_mec_weight,model0_core,model1_renal,0.002939430647147,0.012945639855794,0.0006244817439613,0.001745182548784,0.0605464807021924,0.0590653575175541,1.0864207706052027,1.080078286555652,0.0014811231846382,0.0063424840495507,complete_case_refit
renal,xgboost,2017-2018,5073,613,combined_mec_weight,model0_core,model1_renal,0.0015423731490337,0.0054070043740765,3.976857443274695e-05,0.0003365927341378,0.0028785362915465,0.0250425883464103,1.002444245122196,0.9994106150556832,-0.0221640520548637,0.0018548601778792,complete_case_refit
combined,elastic_net,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.0148754444963662,0.0501966610967811,0.002741281297062,0.0094846075388063,-0.0374520110084045,0.0186458212947044,0.9169226161188438,0.9781258590066744,0.0188061897137001,0.0612032428878304,main_fold_median
combined,elastic_net,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0095683554904488,0.0193621061803624,0.001088465735984,0.0044336129145171,0.0853609644835697,0.0503961547853146,1.034723669788501,1.0221725867461966,0.034964809698255,0.0125510830423043,main_fold_median
combined,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0052293467566936,0.0034121036996984,0.0005613712161819,0.0023157263317055,-0.1676307334190432,-0.1610416261780595,0.969397531589542,0.9569613279676338,0.0065891072409836,-0.0124362036219083,main_fold_median
combined,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0066550482356013,0.0220154527550148,0.001501073556298,0.0041447253686093,-0.0436802548665805,-0.0200238946295165,0.9109750364633608,0.9122004420246544,0.0236563602370639,0.0012254055612934,main_fold_median
combined,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037145581308206,0.0184903933438426,0.0016141680773976,0.0033570709703926,0.1728778828919389,0.0875422888961142,1.1480926140439265,1.1188491241776124,0.0853355939958246,0.029243489866314,main_fold_median
combined,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_combined,model4_combined,0.0089493203266123,0.0348716602826695,0.0016879092869769,0.0055396201717337,0.0689306530634278,0.1044041276479244,1.077394208457339,1.0871372055198714,-0.0354734745844965,-0.0097429970625324,main_fold_median
combined,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037426004951637,0.026567757519007,0.0005856394125219,0.0012108498845993,-0.1987602530811134,-0.2131894158640108,0.8858956257277596,0.8598981287074584,-0.0144291627828973,-0.0259974970203011,main_fold_median
combined,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_combined,model4_combined,0.0110291752791903,0.0582862390058723,0.0028321701627871,0.008647462568579,0.1921354460031971,0.2181327242859041,1.0130147382868349,1.0448695087750275,-0.025997278282707,-0.0318547704881928,main_fold_median
combined,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_combined,model4_combined,0.0074294471979361,0.0248375220932074,0.0014005074218821,0.0048152138696281,0.1957597819688072,0.2527511066962844,1.088887218492653,1.1068823233672438,-0.0569913247274771,-0.0179951048745907,main_fold_median
combined,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_combined,model4_combined,0.0037018130438218,-0.0187688528940825,-0.0003364556678396,0.0006245867054657,-0.0740257769947322,-0.169119459510066,1.0050442328410525,0.9360654246734932,-0.0950936825153338,-0.0588903424854545,main_fold_median
combined,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_combined,model4_combined,0.0058640582375216,0.0171485694299006,0.0010340450565971,0.0035654162968028,0.0256775573528528,0.061942753241165,0.929672086133239,0.9442606412169444,-0.0362651958883121,0.0145885550837052,main_fold_median
