target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,elastic_net,2013-2014,5522,573,combined_mec_weight,0.0788937594508296,training_weighted_youden,0.8459001045958875,0.3695333533659259,0.8388568635686091,0.3941650122982718,0.0661559464969859,0.2278710680997723,0.076233802517767,0.2567217475942238,-0.0791041404702527,0.9838899238670384,0.9617517270688464,0.088149862833457,0.0916555285033003,-0.0428509143320372,0.8394415357766143,0.6868054152354011,0.2368291482028557,0.9736465196218848,0.369431643625192
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2013-2014,2370,244,combined_fasting_weight,0.5,fixed_0.50,0.8712008710405712,0.4267086753664466,0.8561390589577903,0.431265221927908,0.0626586678857353,0.2157317198640183,0.0724289408195397,0.2449888100006799,0.0875422888961143,1.118849124177613,0.9321679336396717,0.0889931294844987,0.0954689882294309,-0.0773761428404395,0.2254098360655737,0.9840075258701788,0.6179775280898876,0.9171416045594036,0.3303303303303303
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2013-2014,2370,244,combined_fasting_weight,0.0699988833776292,training_weighted_youden,0.8712008710405712,0.4267086753664466,0.8561390589577903,0.431265221927908,0.0626586678857353,0.2157317198640183,0.0724289408195397,0.2449888100006799,0.0875422888961143,1.118849124177613,0.9321679336396717,0.0889931294844987,0.0954689882294309,-0.0773761428404395,0.8688524590163934,0.6556914393226717,0.2245762711864407,0.9775596072931276,0.3569023569023569
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2015-2016,5404,597,combined_mec_weight,0.5,fixed_0.50,0.8610809778268647,0.3575206697037384,0.8439162040003778,0.381353377700618,0.065384458906536,0.2212795827163601,0.0805582170729755,0.2657405801490566,0.023346879339049,1.051649985296687,0.9567470107101108,0.0873010721421241,0.0912478128124257,-0.0485499082779261,0.1373534338358459,0.9852298731017266,0.5359477124183006,0.901923443153685,0.2186666666666666
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2015-2016,5404,597,combined_mec_weight,0.0975552723206133,training_weighted_youden,0.8610809778268647,0.3575206697037384,0.8439162040003778,0.381353377700618,0.065384458906536,0.2212795827163601,0.0805582170729755,0.2657405801490566,0.023346879339049,1.051649985296687,0.9567470107101108,0.0873010721421241,0.0912478128124257,-0.0485499082779261,0.8174204355108877,0.7237362180153942,0.2687224669603524,0.9696209587513936,0.4044757563199336
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.5,fixed_0.50,0.8572657725516403,0.3687250765994022,0.8293840662261713,0.3721941345023808,0.0671813585113954,0.2278776997066469,0.087200952025725,0.2862680849186063,0.0689306530634271,1.0773942084573394,0.9600846878893812,0.0905733473179241,0.0943389145357975,-0.0448829726023514,0.1353383458646616,0.9818181818181818,0.5,0.8942042318307267,0.2130177514792899
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.0886754493841477,training_weighted_youden,0.8572657725516403,0.3687250765994022,0.8293840662261713,0.3721941345023808,0.0671813585113954,0.2278776997066469,0.087200952025725,0.2862680849186063,0.0689306530634271,1.0773942084573394,0.9600846878893812,0.0905733473179241,0.0943389145357975,-0.0448829726023514,0.8421052631578947,0.6813131313131313,0.2619883040935672,0.9698058950395398,0.39964317573595
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.5,fixed_0.50,0.8572657725516403,0.3687250765994022,0.8293840662261713,0.3721941345023808,0.0671813585113954,0.2278776997066469,0.087200952025725,0.2862680849186063,0.0689306530634271,1.0773942084573394,0.9600846878893812,0.0905733473179241,0.0943389145357975,-0.0448829726023514,0.1353383458646616,0.9818181818181818,0.5,0.8942042318307267,0.2130177514792899
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,elastic_net,2015-2016,2246,266,combined_fasting_weight,0.0886754493841477,training_weighted_youden,0.8572657725516403,0.3687250765994022,0.8293840662261713,0.3721941345023808,0.0671813585113954,0.2278776997066469,0.087200952025725,0.2862680849186063,0.0689306530634271,1.0773942084573394,0.9600846878893812,0.0905733473179241,0.0943389145357975,-0.0448829726023514,0.8421052631578947,0.6813131313131313,0.2619883040935672,0.9698058950395398,0.39964317573595
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,2015-2016,5404,597,combined_mec_weight,0.5,fixed_0.50,0.8662169735647763,0.3694105870917214,0.8529405922895109,0.3989743977587847,0.0647225123888795,0.2189197300558615,0.0790370961900693,0.2608977034135482,0.0108504480541142,1.0354276245969545,0.966555535314428,0.0873010721421241,0.0903218376518059,-0.0373317173751859,0.1675041876046901,0.9796130642812564,0.5050505050505051,0.9045332308874376,0.2515723270440252
