cycle,comparison,algorithm,core_model,extended_model,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_Brier_improvement,0.00039719532458673545,0.0004061277328044293,8.932408217693821e-06,0.0003284525137936687,-0.00019257933253841555,0.0010630714400107807,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,delta_log_loss_improvement,0.0010577306522359387,0.001093419166402711,3.568851416677239e-05,0.0009791103079292288,-0.000763760381159608,0.0030836671374338065,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,core_calibration_intercept,-0.12383156614525577,-0.12100014822729883,0.0028314179179569354,0.10342340459769019,-0.31665972491380767,0.0816997105465106,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,extended_calibration_intercept,-0.06800620882624535,-0.06423808777250574,0.0037681210537396093,0.10986124314527863,-0.27371229711050526,0.15578478289768566,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,core_calibration_slope,0.9838804149290225,0.9879373083708388,0.004056893441816367,0.06162451963329422,0.8795374936553142,1.1115196648579184,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,extended_calibration_slope,1.019898160208602,1.024486471204081,0.004588310995479183,0.06565586768650981,0.9118145973508582,1.1571338525048145,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,absolute_intercept_deviation_change,0.05582535731901042,0.03005208291168259,-0.02577327440732783,0.04644457154019121,-0.08381319235246532,0.08504795826386212,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,inflammatory,xgboost,model0_core,model3_inflammatory,7766,982,combined_mec_weight,absolute_slope_deviation_change,-0.0037785751376243626,-0.00446433614785235,-0.0006857610102279877,0.03491614957137352,-0.05682247121226132,0.04375188657048787,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_AUROC,0.0035018936985969917,0.0035638781481763847,6.198444957939298e-05,0.003548785999939919,-0.0032481421416746038,0.010449120921886306,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_PR_AUC,0.010523556873797524,0.010509963482545815,-1.3593391251709094e-05,0.012120152524100938,-0.0119809367381902,0.03516405525769169,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_Brier_improvement,0.0006408066598791867,0.0006335529232940367,-7.253736585150004e-06,0.0007256045106625089,-0.0007901571270404136,0.0020164827816136536,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,delta_log_loss_improvement,0.0024413268432263158,0.0024456529105837577,4.326067357441916e-06,0.0020459236914840886,-0.0015358555469284253,0.006364500918087322,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,core_calibration_intercept,-0.15250542010749696,-0.14603411213968567,0.006471307967811285,0.11882274339160781,-0.3743190864388739,0.09458757811014641,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,extended_calibration_intercept,-0.17915306557516356,-0.1740237904481005,0.005129275127063043,0.12630958672985917,-0.4213244253917353,0.0826146005555433,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,core_calibration_slope,1.015177186212524,1.0243181275208955,0.009140941308371398,0.08470115740936002,0.886945250161282,1.2069644865925617,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,extended_calibration_slope,0.9658168936294809,0.973704754489995,0.007887860860514184,0.08057327103112649,0.8461576323089373,1.1374177171972173,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,absolute_intercept_deviation_change,-0.026647645467666597,-0.024167127236408105,0.0024805182312584925,0.0403277799992582,-0.1074137384217275,0.05214378515226532,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,combined,xgboost,model0_paired_combined,model4_combined,3397,434,combined_fasting_weight,absolute_slope_deviation_change,-0.01900592015799507,-0.0019747682845640694,0.017031151873431002,0.04898730877419213,-0.0736743544432713,0.08499939549168435,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
