cycle,algorithm,model,model_label,target_population,comparison_sample,n,events,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
2021-2023,elastic_net,model2_metabolic,Model 2 metabolic,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,calibration_in_the_large,-0.10219721115558311,-0.10409876830106436,-0.0019015571454812502,0.06807820216809236,-0.2343566855441103,0.019580193804572342,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,survey_weighted_AUROC,0.8552883224621002,0.8553572489346354,6.892647253520234e-05,0.011856450965231559,0.8329711819997104,0.8790102913869864,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,survey_weighted_PR_AUC,0.4022506659581026,0.40375237288500676,0.001501706926904156,0.01990042528433935,0.3646432625981898,0.4423300242620094,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,weighted_Brier,0.07022666249867698,0.07029513215073965,6.84696520626693e-05,0.003127263584750829,0.0645190585466838,0.07640978736133623,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,weighted_log_loss,0.23741472468231944,0.23753269721699394,0.00011797253467449309,0.009390585160498389,0.2196978912246622,0.2559910861138316,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,calibration_intercept,-0.06453730096298063,-0.06067453023171446,0.003862770731266174,0.10935568651322582,-0.26422144008563103,0.1620543925081113,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,calibration_slope,1.0001910886804646,1.0044876394002844,0.004296550719819825,0.0628434141769439,0.8957055477449581,1.1328423696204863,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,observed_expected_ratio,0.9546554626192594,0.9548076628415354,0.00015220022227602215,0.034220783749185725,0.8888357521189861,1.018727324369594,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,weighted_observed_prevalence,0.09695569595871846,0.09709409020457789,0.00013839424585943005,0.005140719429047566,0.08765668520971824,0.10751696105635261,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,weighted_mean_predicted_probability,0.10156092931443983,0.10167545238271478,0.00011452306827494652,0.003574596395251123,0.0952244919912094,0.10894423468935166,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model3_inflammatory,Model 3 inflammatory,MEC examination sample,inflammatory comparison sample,7766,982,combined_mec_weight,calibration_in_the_large,-0.051517499438263226,-0.051967434296945544,-0.00044993485868231875,0.03973255770430699,-0.13034027753618666,0.020565867009256344,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,survey_weighted_AUROC,0.8519438896052145,0.8524669264024157,0.0005230367972012262,0.014812275570738614,0.8244705852795886,0.8805783172756532,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,survey_weighted_PR_AUC,0.41812929854291603,0.42039476664361736,0.002265468100701329,0.026504163479283655,0.3699353549986112,0.47175297636083746,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_Brier,0.0675509954143531,0.06755254190955086,1.5464951977628427e-06,0.0033005025764405445,0.061403670426860055,0.07385035296549403,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_log_loss,0.2320081309576234,0.23192388648936776,-8.42444682556398e-05,0.010360940929217414,0.2123515535625649,0.25205540048961644,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,calibration_intercept,-0.1623083555330749,-0.15807360798942022,0.004234747543654688,0.12578542240421856,-0.39924667405873826,0.0883726508684742,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,calibration_slope,0.962897283556809,0.9701477723046857,0.007250488747876704,0.07448591072442928,0.840911716553944,1.127065657374866,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,observed_expected_ratio,0.9274001375851872,0.9267852861133925,-0.0006148514717947418,0.05528965261190406,0.8223116043828356,1.0288507139032383,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_observed_prevalence,0.09335715157717278,0.0933864867014018,2.9335124229021292e-05,0.005384949699689709,0.08288153997076297,0.10367061276262644,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,weighted_mean_predicted_probability,0.10066544934990089,0.10084445843624833,0.00017900908634743695,0.0037168463733269984,0.09390992294050385,0.10827551405350984,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model4_combined,Model 4 combined biomarkers,fasting subsample,combined comparison sample,3397,434,combined_fasting_weight,calibration_in_the_large,-0.08346365714844461,-0.08607709984586519,-0.0026134426974205732,0.06631093556066664,-0.21526711586514444,0.03153401005539978,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,survey_weighted_AUROC,0.8445283446324776,0.8452159037561682,0.000687559123690562,0.016087535322047156,0.8150478117609437,0.8767059076662442,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
2021-2023,elastic_net,model0_paired_metabolic,Model 0 paired metabolic sample,fasting subsample,metabolic comparison sample,3397,434,combined_fasting_weight,survey_weighted_PR_AUC,0.39313762164988486,0.3979191456985626,0.0047815240486777655,0.025781489883727193,0.34890523465316026,0.44662324209430565,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,15
