comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change,imbalance_setting
metabolic,elastic_net,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0019331655819730953,0.0018766847928661234,0.0013065307846754914,0.0036965079602268025,-2.129216677622895,-2.120895422483252,0.9222032692650262,0.9324149727204052,0.008321255139643213,0.010211703455379029,class_weighted_refit
metabolic,elastic_net,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0008002106305529111,-0.00037163958797176155,-0.00037742968594023374,-0.0006990327486012249,-1.903388920250113,-1.9090040945728002,0.8787775645118191,0.8761861318882955,-0.0056151743226871,-0.0025914326235235707,class_weighted_refit
metabolic,elastic_net,2013-2014,2370,244,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.00037355754253609597,-0.000605985467879433,0.0009375406415690068,0.0023452473370864646,-2.1536068388168683,-2.1448893693195945,1.1133657713437008,1.1023577284665391,0.008717469497273811,0.011008042877161728,class_weighted_refit
metabolic,elastic_net,2015-2016,2246,266,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0011247151510658249,0.0039025825897695543,3.0380177103994654e-06,0.0004989012667579451,-2.158475175116112,-2.1654151776389585,1.053181630162471,1.058205332412164,-0.0069400025228465445,-0.005023702249693063,class_weighted_refit
metabolic,elastic_net,2017-2018,2279,287,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,9.50789586673384e-05,-0.0026922346081350024,0.001005030635999049,0.002643301767130901,-2.030714771840855,-2.0162071639869454,0.8753801363967999,0.8647060214250373,0.014507607853909477,-0.010674114971762627,class_weighted_refit
metabolic,xgboost,2005-2006,1836,216,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.004228750476732435,0.007269887613810255,0.000905213802299909,0.006429309498698799,-1.825277768051247,-1.821724418557345,1.0010760557888503,0.9681527139950159,0.0035533494939021804,-0.030771230216133816,class_weighted_refit
metabolic,xgboost,2007-2008,2337,288,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.004161617406053808,0.005016067154150983,0.0006496711761978802,0.002191890367053917,-1.9828234729355576,-1.9873515226040666,1.0933238456441101,1.1128955337448732,-0.004528049668508949,-0.01957168810076304,class_weighted_refit
metabolic,xgboost,2009-2010,2594,273,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.001479935894901807,-0.0023369275928479816,-0.00046196463397349397,0.0005069624454652755,-2.019317101924664,-2.0306165232451985,0.9938182729162319,0.9536060215179927,-0.01129942132053463,-0.04021225139823925,class_weighted_refit
metabolic,xgboost,2011-2012,2294,239,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,0.0012305836626564925,-0.010886814372096543,-0.000470568149636863,-0.0006216155806439971,-1.7789638032085882,-1.7828687922988518,0.947101155736695,0.9441757252597447,-0.0039049890902635997,-0.0029254304769502637,class_weighted_refit
metabolic,xgboost,2013-2014,2370,244,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.0020973175722872606,0.004666112849117943,0.0006538926108798637,0.002368670153353125,-2.114904656838795,-2.100162434516113,1.1451063234193901,1.1310323929473165,0.014742222322682075,0.014073930472073615,class_weighted_refit
