comparison,algorithm,metric,k_cycles,pooled_effect_REML,modified_HK_se,ci_lower,ci_upper,p_value,tau2_REML,tau_REML,Cochran_Q,Q_df,Q_p_value,I2_percent,HK_q,modified_HK_q,prediction_interval_lower,prediction_interval_upper,between_cycle_variance_method,confidence_interval_method,ci_level
metabolic,xgboost,delta_PR_AUC,7,-0.002265080839213332,0.003925466800430106,-0.011870352074461918,0.007340190396035255,0.5849082828378968,5.305214993562938e-05,0.007283690680941179,12.596531853913408,6,0.04990972274974055,52.36784164415891,0.8221672393730054,1.0,-0.023534442098138708,0.01900428041971204,REML,modified_Hartung_Knapp,0.95
metabolic,xgboost,delta_log_loss_improvement,7,-0.00012200099078091294,0.0006998172111588955,-0.0018343920184008423,0.0015903900368390163,0.8673376051995535,1.6044568312061082e-06,0.0012666715561684126,13.11377690693738,6,0.041264322495734626,54.24659087477757,1.0940137709306894,1.0940137709306894,-0.0038419810474872584,0.003597979065925433,REML,modified_Hartung_Knapp,0.95
renal,elastic_net,delta_AUROC,7,0.0045241490148140795,0.0007320275679091652,0.0027329420835323073,0.006315355946095852,0.000825290907923017,0.0,0.0,3.0863586717443936,6,0.7979324960869272,0.0,0.5143931119573989,1.0,0.0026424122455617504,0.006405885784066409,REML,modified_Hartung_Knapp,0.95
renal,elastic_net,delta_Brier_improvement,7,0.0008301255873682707,0.00020000284395537275,0.0003407362582311693,0.001319514916505372,0.00600727363089271,1.2225772643733396e-07,0.0003496537236142838,10.803515150395723,6,0.09464219279354415,44.4625206104309,0.9454351447944028,1.0,-0.00020533995189952613,0.0018655911266360675,REML,modified_Hartung_Knapp,0.95
renal,elastic_net,delta_PR_AUC,7,0.015364504784333311,0.0035442676506782333,0.006691994266258971,0.02403701530240765,0.004901754255707719,2.8045349076572007e-05,0.005295785973448324,8.431191145152063,6,0.2081837128553927,28.83567817757279,0.9131584237030833,1.0,-0.0010162104960925906,0.031745220064759216,REML,modified_Hartung_Knapp,0.95
renal,elastic_net,delta_log_loss_improvement,7,0.0025976122198492157,0.0005259617163099423,0.0013106302629618649,0.0038845941767365662,0.0026071072484368544,6.676768947984133e-07,0.0008171149826055163,8.808892088270552,6,0.18461453754128077,31.8870075841969,0.8820993167419108,1.0,9.963006416985505e-05,0.005095594375528576,REML,modified_Hartung_Knapp,0.95
renal,xgboost,delta_AUROC,7,0.002623341991768496,0.0007380862305769213,0.0008173100470029019,0.00442937393653409,0.012010257175494818,0.0,0.0,1.9116316501715316,6,0.9276436664935807,0.0,0.3186052750285886,1.0,0.0007260309343141852,0.004520653049222807,REML,modified_Hartung_Knapp,0.95
renal,xgboost,delta_Brier_improvement,7,0.0005359707897906613,0.00019144936428200466,6.751107143485198e-05,0.0010044305081464708,0.031182707798475612,5.970592024129684e-08,0.00024434794912439275,7.783200762767917,6,0.2544207849400188,22.91089253791473,0.9925545227509489,1.0,-0.000261981782822897,0.0013339233624042198,REML,modified_Hartung_Knapp,0.95
renal,xgboost,delta_PR_AUC,7,0.008336757909471294,0.0037348304817514336,-0.0008020430583437991,0.017475558877286385,0.06706587462011851,7.201130362324594e-06,0.0026834921953165047,5.852095818889952,6,0.4399608795559725,0.0,0.8957376303018006,1.0,-0.0034851489920883286,0.020158664811030916,REML,modified_Hartung_Knapp,0.95
renal,xgboost,delta_log_loss_improvement,7,0.0014019775571751133,0.000455469017739345,0.0002874850198393475,0.002516470094510879,0.021715839555227354,0.0,0.0,4.2081422030926525,6,0.648532195521033,0.0,0.7013570338487755,1.0,0.00023115717347923863,0.002572797940870988,REML,modified_Hartung_Knapp,0.95
