comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,delta_AUROC,delta_PR_AUC,delta_Brier_improvement,delta_log_loss_improvement,core_calibration_intercept,extended_calibration_intercept,core_calibration_slope,extended_calibration_slope,absolute_intercept_deviation_change,absolute_slope_deviation_change
metabolic,xgboost,2013-2014,2370,244,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.0006181300106323784,0.0044329881166798035,4.399319362263787e-05,-9.188887948716196e-05,0.08018304716911648,0.0703999047259037,1.1170008469740706,1.109342968562011,0.00978314244321278,0.00765787841205956
metabolic,xgboost,2015-2016,2246,266,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.001559794746750831,-0.006003777074907624,-0.0003390840826562602,-0.0007559118871370285,0.02938471339785753,0.040632241414195906,1.1004014630029793,1.1013498298972442,-0.011247528016338375,-0.0009483668942649182
metabolic,xgboost,2017-2018,2279,287,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,-0.0024186737835578676,-0.012479012123045197,-0.0016755056438181731,-0.003918509816301097,-0.2660737058986597,-0.3722997149930194,0.8588814226538474,0.7883923200365242,-0.1062260090943597,-0.07048910261732322
inflammatory,elastic_net,2005-2006,4448,533,combined_mec_weight,model0_core,model3_inflammatory,0.0029502536887260344,0.0069647088047425365,0.00034189730409582564,0.0013944623706921566,0.10594717044057386,0.13341823268014633,0.9947416253587584,1.0056286794560052,-0.027471062239572464,-0.0003703048147636334
inflammatory,elastic_net,2007-2008,5649,677,combined_mec_weight,model0_core,model3_inflammatory,0.000857057646850734,0.007458276502886385,0.0002814743925179941,0.0006780370211076359,0.06945362258100926,0.0949097013268798,1.0249267128685786,1.0341110403812852,-0.02545607874587054,-0.009184327512706592
inflammatory,elastic_net,2009-2010,5990,646,combined_mec_weight,model0_core,model3_inflammatory,0.0001554274029232916,0.0028907367592683753,0.00011388889419870762,0.00022421636605945983,-0.1685420313155057,-0.16000875217523755,0.9537351286056369,0.95382028822204,0.008533279140268163,8.515961640309655e-05
inflammatory,elastic_net,2011-2012,5260,550,combined_mec_weight,model0_core,model3_inflammatory,0.0011908636450708165,0.0036056812687758066,0.00026641805495056237,0.0005881278557764991,-0.04663188899651303,-0.027541230517443165,0.9539106390038112,0.9576590654564437,0.019090658479069864,0.003748426452632514
inflammatory,elastic_net,2013-2014,5522,573,combined_mec_weight,model0_core,model3_inflammatory,0.0009006344154011137,-0.0006572140803328685,4.438903380464543e-05,0.0003537013871765804,-0.04583067356589075,-0.0791041404702539,0.9919471897383998,0.9838899238670371,-0.03327346690436314,-0.008057265871362684
inflammatory,elastic_net,2015-2016,5404,597,combined_mec_weight,model0_core,model3_inflammatory,0.0008743577332191999,0.007375545293840935,0.00024053260274667365,0.0006231071733115712,0.023346879339047694,0.008020616229782673,1.0516499852966859,1.0496766897241891,0.01532626310926502,0.0019732955724967027
inflammatory,elastic_net,2017-2018,5209,646,combined_mec_weight,model0_core,model3_inflammatory,0.0008045261369020729,-0.004807127308600112,-0.00023262283761348035,-0.0001965383929822262,0.003052173635859398,-0.01819830663037874,0.9965290708848361,0.9860410184983603,-0.015146132994519342,-0.010488052386475766
