target_population,comparison_sample,model,model_label,algorithm,weight_variable,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,survey_weighted_AUROC,0.853197957928053,0.8530963237213074,-0.00010163420674558221,0.0037664472204278735,0.8460011899988626,0.8603716794518295,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,survey_weighted_PR_AUC,0.3851329630071481,0.387363565054702,0.0022306020475538757,0.008397626352635957,0.37138535290860963,0.4033023369390692,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,weighted_Brier,0.06491590828999438,0.06489576862083858,-2.0139669155802564e-05,0.0014938191959764893,0.06187059591038019,0.06790207353797575,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,weighted_log_loss,0.22367701090243308,0.22361644132403835,-6.0569578394731316e-05,0.004450793978613659,0.2146066365239346,0.23237184833327612,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,calibration_intercept,-0.00861399256141676,-0.007283761776785361,0.0013302307846313989,0.036140825802508804,-0.07713359072130203,0.06214586295152235,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,calibration_slope,0.9951992125567832,0.9971290485007339,0.0019298359439506863,0.017371124115009365,0.9630517347037602,1.0308390814547246,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,observed_expected_ratio,1.0006333381964496,1.0006667204335429,3.338223709326016e-05,0.018127116737563623,0.9655540441741927,1.036666163908904,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,weighted_observed_prevalence,0.08800566465490338,0.08797433194354841,-3.1332711354969955e-05,0.002249232302824055,0.08353695680858696,0.09220626989055677,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,weighted_mean_predicted_probability,0.08799947680615193,0.08795394405866062,-4.553274749130587e-05,0.001470680983474383,0.0850368936629172,0.09082313259187583,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,elastic_net,combined_mec_weight,calibration_in_the_large,-0.00010728076990591211,-0.001172111130489205,-0.0010648303605832927,0.019829414147448786,-0.03963991054577033,0.037995644943188266,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
