target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,imbalance_setting
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,2015-2016,5404,597,combined_mec_weight,0.5,fixed_0.50,0.8674969402376442,0.3766348876454133,0.8509941009394801,0.4137302941972093,0.0641834209531643,0.2178486986671776,0.0784526094794273,0.2604235719708875,-0.0079525617732856,1.049549245492909,0.9395840856261296,0.0873010721421241,0.0929145921878269,-0.06848741770736,0.1373534338358459,0.9860619929269816,0.5503355704697986,0.9019980970504282,0.2198391420911528,main_observed_class_distribution
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2015-2016,2246,266,combined_fasting_weight,0.5,fixed_0.50,0.8662194000654344,0.4276074952208379,0.8482342219184325,0.4321155124786319,0.0641492832636508,0.2208636055884703,0.0820316225290298,0.2725877366564738,0.125860584554955,1.143417046462095,0.9329156056431694,0.0905733473179241,0.0970863246043367,-0.0766279347247911,0.1804511278195488,0.9828282828282828,0.5853658536585366,0.899260628465804,0.2758620689655172,main_observed_class_distribution
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,xgboost,2017-2018,5209,646,combined_mec_weight,0.5,fixed_0.50,0.8513899924474511,0.3663011677286718,0.8233299340705865,0.3700034779873097,0.0714107856516425,0.2402138718697412,0.0910972505807876,0.2973042914644325,0.0007755859606321,1.0079333868495517,0.9914419427663052,0.0963747859305344,0.0972066863155205,-0.0095159371906898,0.1377708978328173,0.980276134122288,0.4972067039106145,0.8892644135188866,0.2157575757575757,main_observed_class_distribution
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8272792279845542,0.3305817415691557,0.8159563340469894,0.3793157977279818,0.0777507921969778,0.2606543212079176,0.0940166562795639,0.305935082229661,-0.2660737029183899,0.8588814231053581,0.9677258666325118,0.0998769339312416,0.1032078787754149,-0.0365138352058602,0.1881533101045296,0.9658634538152612,0.4426229508196721,0.8919796012980992,0.2640586797066014,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model0_paired_metabolic,Model 0 paired metabolic sample,xgboost,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8272792279845542,0.3305817415691557,0.8159563340469894,0.3793157977279818,0.0777507921969778,0.2606543212079176,0.0940166562795639,0.305935082229661,-0.2660737029183899,0.8588814231053581,0.9677258666325118,0.0998769339312416,0.1032078787754149,-0.0365138352058602,0.1881533101045296,0.9658634538152612,0.4426229508196721,0.8919796012980992,0.2640586797066014,main_observed_class_distribution
MEC examination sample,renal comparison sample,model1_renal,Model 1 renal,xgboost,2017-2018,5209,646,combined_mec_weight,0.5,fixed_0.50,0.853293141100073,0.3742511082595893,0.8305633752168641,0.3917969169364438,0.0712808989563497,0.2394857780772565,0.0898226723074913,0.2929424480462815,0.0278374341943164,1.0095120429369318,1.009052162225408,0.0963747859305344,0.0955102119973513,0.0099677633258066,0.1733746130030959,0.9758930528161296,0.5045045045045045,0.89292159614999,0.2580645161290322,main_observed_class_distribution
fasting subsample,metabolic comparison sample,model2_metabolic,Model 2 metabolic,xgboost,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8248605542009964,0.3181027294461105,0.813513636427242,0.3689425230433447,0.0794262975212302,0.2645728305874436,0.0960042551159858,0.3105862591339648,-0.3722997100352106,0.7883923217650928,0.971355447268382,0.0998769339312416,0.1028222307417049,-0.032340284201842,0.2090592334494773,0.9593373493975904,0.425531914893617,0.8938260056127222,0.2803738317757009,main_observed_class_distribution
MEC examination sample,inflammatory comparison sample,model3_inflammatory,Model 3 inflammatory,xgboost,2017-2018,5209,646,combined_mec_weight,0.5,fixed_0.50,0.8521059577558739,0.3600935071642547,0.8257474137445558,0.3763223006906536,0.0721065030295003,0.2410404468920635,0.0912424549460411,0.2969958814794789,-0.0891828946241708,0.956838345219491,0.984788184055776,0.0963747859305344,0.0978634669778654,-0.0169775151291093,0.1733746130030959,0.972824895901819,0.4745762711864407,0.8926201488035391,0.2539682539682539,main_observed_class_distribution
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2017-2018,2279,287,combined_fasting_weight,0.5,fixed_0.50,0.8191724743038516,0.3287613038318556,0.8191896505884163,0.3986729380499271,0.0791925557304771,0.2663921004555133,0.0929565280675888,0.3040530209282719,-0.3742472613331919,0.7831014766351418,0.9816948839557452,0.0998769339312416,0.1017392833186488,-0.0205458652183776,0.2334494773519163,0.9653614457831324,0.4926470588235294,0.897340177321512,0.3167848699763593,main_observed_class_distribution
MEC examination sample,core MEC target sample,model0_core,Model 0 core clinical,elastic_net,2005-2006,4448,533,combined_mec_weight,0.5,fixed_0.50,0.8495584259977478,0.3765015202428941,0.8419505485947875,0.4100422483771024,0.127916687271348,0.4030074445209076,0.1626198238329224,0.4883885993825493,-1.9597771091241547,0.96672157048966,0.3058582162318098,0.0895836535532119,0.2928927483357731,-1.4373532944441436,0.8030018761726079,0.7565772669220945,0.3099203475742216,0.9657645908053472,0.4472309299895506,training_count_balanced_class_weights
