model,term,source_predictor,coefficient,coefficient_scale,odds_ratio_per_model_unit
model3_inflammatory,siri,siri,0.10487710773728623,one training-sample standard deviation after median imputation,1.1105741210024929
model3_inflammatory,sex_Female,sex,-0.687886496085722,one-hot indicator versus omitted reference category,0.5026372730857352
model3_inflammatory,sex_Male,sex,-0.5488379107546403,one-hot indicator versus omitted reference category,0.5776206672725352
model3_inflammatory,race_ethnicity_Mexican American,race_ethnicity,-0.5158239450902026,one-hot indicator versus omitted reference category,0.5970084896984652
model3_inflammatory,race_ethnicity_Non-Hispanic Asian,race_ethnicity,-0.6115068431075719,one-hot indicator versus omitted reference category,0.5425327411124838
model3_inflammatory,race_ethnicity_Non-Hispanic Black,race_ethnicity,0.05836162421666648,one-hot indicator versus omitted reference category,1.0600982836144182
model3_inflammatory,race_ethnicity_Non-Hispanic White,race_ethnicity,-0.14056878937733044,one-hot indicator versus omitted reference category,0.868863894270735
model3_inflammatory,race_ethnicity_Other Hispanic,race_ethnicity,-0.2807433734772447,one-hot indicator versus omitted reference category,0.7552221206406664
model3_inflammatory,race_ethnicity_Other/Multi,race_ethnicity,0.253556919995371,one-hot indicator versus omitted reference category,1.2886007245451476
model3_inflammatory,education_9-11th grade,education,0.23369788888003035,one-hot indicator versus omitted reference category,1.2632627888163162
model3_inflammatory,education_<9th grade,education,0.2846712028856569,one-hot indicator versus omitted reference category,1.3293248780746396
model3_inflammatory,education_College graduate+,education,-0.24590855251364588,one-hot indicator versus omitted reference category,0.7819937330170389
model3_inflammatory,education_High school/GED,education,0.08921383160638877,one-hot indicator versus omitted reference category,1.093314416510752
model3_inflammatory,education_Missing,education,-1.6256465129897022,one-hot indicator versus omitted reference category,0.19678441039196048
model3_inflammatory,education_Some college/AA,education,0.027247735290937724,one-hot indicator versus omitted reference category,1.0276223495538168
model3_inflammatory,smoking_Current,smoking,0.4495850313491129,one-hot indicator versus omitted reference category,1.5676615201105906
model3_inflammatory,smoking_Former,smoking,-0.045937905336157846,one-hot indicator versus omitted reference category,0.9551012670415504
model3_inflammatory,smoking_Missing,smoking,-1.2764271961830247,one-hot indicator versus omitted reference category,0.27903244985972997
model3_inflammatory,smoking_Never,smoking,-0.36394433667022286,one-hot indicator versus omitted reference category,0.6949298757771905
model3_inflammatory,diabetes_0.0,diabetes,-0.9516415477696132,one-hot indicator versus omitted reference category,0.3861066903764999
model3_inflammatory,diabetes_1.0,diabetes,-0.28508285907072717,one-hot indicator versus omitted reference category,0.751951945698549
model4_combined,intercept,intercept,-0.9941369471502908,model log-odds intercept after preprocessing,0.370042673152242
model4_combined,age,age,1.0363985975472392,one training-sample standard deviation after median imputation,2.8190461908640554
model4_combined,bmi,bmi,0.02493322558906131,one training-sample standard deviation after median imputation,1.0252466579970272
model4_combined,mean_sbp,mean_sbp,-0.05244284157471632,one training-sample standard deviation after median imputation,0.9489085576246401
model4_combined,total_cholesterol,total_cholesterol,-0.3812277719307365,one training-sample standard deviation after median imputation,0.6830222985932515
model4_combined,hdl_cholesterol,hdl_cholesterol,-0.024059473622064943,one training-sample standard deviation after median imputation,0.9762276482371613
model4_combined,egfr,egfr,-0.3100707836356492,one training-sample standard deviation after median imputation,0.7333950420195317
model4_combined,log2_uacr,log2_uacr,0.1961188817520568,one training-sample standard deviation after median imputation,1.216671536781096
model4_combined,tyg_wc,tyg_wc,0.2187224368343602,one training-sample standard deviation after median imputation,1.2444858053249668
model4_combined,siri,siri,0.06342667559745292,one training-sample standard deviation after median imputation,1.0654813571531954
model4_combined,sex_Female,sex,-0.5682365986291854,one-hot indicator versus omitted reference category,0.5665235668249757
model4_combined,sex_Male,sex,-0.41688879097107284,one-hot indicator versus omitted reference category,0.6590942130960249
model4_combined,race_ethnicity_Mexican American,race_ethnicity,-0.4144590700724284,one-hot indicator versus omitted reference category,0.6606975751521148
