target_population,comparison_sample,model,model_label,algorithm,cycle,n,events,weight_variable,classification_threshold,classification_threshold_type,survey_weighted_AUROC,survey_weighted_PR_AUC,unweighted_AUROC,unweighted_PR_AUC,weighted_Brier,weighted_log_loss,unweighted_Brier,unweighted_log_loss,calibration_intercept,calibration_slope,observed_expected_ratio,weighted_observed_prevalence,weighted_mean_predicted_probability,calibration_in_the_large,sensitivity,specificity,PPV,NPV,F1,uacr_method
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2015-2016,2222,261,combined_fasting_weight,0.5,fixed_0.50,0.8634287312981099,0.3765019686795234,0.8313121188853134,0.3767445077711179,0.0659754690419489,0.2234775621154666,0.0862262628668376,0.2833665340869852,0.1435154634656124,1.124219311226928,0.9597214300743364,0.0895671647115393,0.0933262110283416,-0.0452496171637926,0.1226053639846743,0.9847016828148905,0.5161290322580645,0.8939814814814815,0.198142414860681,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2015-2016,2222,261,combined_fasting_weight,0.5,fixed_0.50,0.8719546315016242,0.4104850242528574,0.8435644492898884,0.4097960861563935,0.0642833702160214,0.218143119760751,0.083647107257535,0.2759407072872798,0.1721789061185418,1.1280557795058577,0.9753017009775444,0.0895671647115393,0.0918353414351336,-0.0275028443600322,0.160919540229885,0.9806221315655278,0.525,0.8977591036414566,0.2463343108504398,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,elastic_net,2017-2018,2250,277,combined_fasting_weight,0.5,fixed_0.50,0.829685692437289,0.3373698996976763,0.818314392310634,0.3809940209091277,0.0759364061696354,0.2555667261466158,0.0917436431173374,0.2999483340419629,-0.1953772746594096,0.8861062647204894,0.9911882708073768,0.0980661158727433,0.098937930119838,-0.0098178550208749,0.2021660649819494,0.9706031424227064,0.4912280701754385,0.8965355805243446,0.2864450127877238,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,elastic_net,2017-2018,2250,277,combined_fasting_weight,0.5,fixed_0.50,0.8314749460728517,0.3601432298082107,0.8297869615257235,0.4133573771676502,0.0756575965498204,0.2552528638717736,0.0893987721692078,0.2933406077324627,-0.2214762408488047,0.8519985873781852,1.017638440916044,0.0980661158727433,0.0963663634644811,0.0193674796945342,0.223826714801444,0.969589457678662,0.5081967213114754,0.8989661654135338,0.3107769423558897,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2005-2006,1814,206,combined_fasting_weight,0.5,fixed_0.50,0.833607319273701,0.3676569828634021,0.8276457518234073,0.3868971816189673,0.0700117212048483,0.2425770166778456,0.0836259201169014,0.2788427099944054,0.1365342926792694,0.9882350148825004,1.1279829309057106,0.0922601761927907,0.0817921740346821,0.131896975839898,0.1407766990291262,0.9875621890547264,0.5918367346938775,0.8997167138810198,0.2274509803921569,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2005-2006,1814,206,combined_fasting_weight,0.5,fixed_0.50,0.8452328320774145,0.4289224827418935,0.8415416847799836,0.4512310384347316,0.0673066895450267,0.2337389018942342,0.0803156718611717,0.2684448307729574,0.1808105591011417,1.0295664898449055,1.098583420499719,0.0922601761927907,0.083981038190822,0.1031008155728234,0.1796116504854369,0.9856965174129352,0.6166666666666667,0.903648802736602,0.2781954887218045,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2007-2008,2295,273,combined_fasting_weight,0.5,fixed_0.50,0.8612609080615151,0.3908457116834005,0.8261142089035264,0.3874182460825918,0.064012969046753,0.2196828966690912,0.0869446098804473,0.2877105429003235,0.1821241647226701,1.0724314222133964,1.0417722762394517,0.0874164260948351,0.0839112616918425,0.0447569413312178,0.1355311355311355,0.9846686449060336,0.5441176470588235,0.8940278401436911,0.2170087976539589,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2007-2008,2295,273,combined_fasting_weight,0.5,fixed_0.50,0.8702430521026198,0.4169996877762612,0.8378532117404521,0.4225570636561144,0.0626343830528978,0.2146557979030465,0.0843857079744339,0.2796347555175268,0.2439354179168903,1.0925834675026451,1.061177596219825,0.0874164260948351,0.0823768108243463,0.064886399260327,0.1501831501831501,0.9841740850642928,0.5616438356164384,0.8955895589558955,0.2369942196531791,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2009-2010,2567,262,combined_fasting_weight,0.5,fixed_0.50,0.8336100910606442,0.3674221347928496,0.838588531403686,0.403978960996021,0.0605788769948914,0.2161376132672161,0.0741382092237472,0.2531246688198856,-0.0959743827007107,0.9911659545010224,0.940541185563935,0.0796182921568201,0.0846515744114726,-0.0667835381035946,0.1526717557251908,0.9891540130151844,0.6153846153846154,0.9112709832134293,0.2446483180428134,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2009-2010,2567,262,combined_fasting_weight,0.5,fixed_0.50,0.8363704052225247,0.3533524803789901,0.8435213856369327,0.4026068714881113,0.0610887196312884,0.2159677263587112,0.0741756781935691,0.2513165083185562,-0.1836298779501018,0.9287474201860576,0.9574018528409828,0.0796182921568201,0.083160787625971,-0.0473884346071051,0.1984732824427481,0.9813449023861172,0.5473684210526316,0.9150485436893204,0.2913165266106443,complete_case_refit
fasting subsample,combined comparison sample,model0_paired_combined,Model 0 paired combined sample,xgboost,2011-2012,2273,229,combined_fasting_weight,0.5,fixed_0.50,0.8225566999398114,0.3620488832734944,0.8206252830736889,0.3527045619351826,0.0718608937358594,0.2499746509985823,0.0771743431687355,0.2624120622973058,0.0143366025644643,0.9224684911431632,1.1256710706669042,0.0943576294506014,0.0838234471058221,0.1299439608900185,0.131004366812227,0.9867906066536204,0.5263157894736842,0.9101985559566786,0.2097902097902098,complete_case_refit
fasting subsample,combined comparison sample,model4_combined,Model 4 combined biomarkers,xgboost,2011-2012,2273,229,combined_fasting_weight,0.5,fixed_0.50,0.826787700448123,0.3788749140833789,0.8273357318042368,0.3652163696450675,0.0709890317688204,0.2474063763004897,0.0763057768344879,0.2595972498503135,0.04516604985576,0.9289756073465107,1.140781354095598,0.0943576294506014,0.0827131589343054,0.1444891594587845,0.1615720524017467,0.9818982387475538,0.5,0.91268758526603,0.2442244224422441,complete_case_refit
