comparison,algorithm,cycle,n,events,weight_variable,core_model,extended_model,metric,point_estimate,bootstrap_mean,bootstrap_bias,bootstrap_se,ci_lower,ci_upper,ci_level,ci_method,replicate_method,n_replicates_requested,n_replicates_valid,valid_replicate_fraction,design_df
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_Brier_improvement,-0.0003322279357010488,-0.00033745467478899074,-5.226739087941937e-06,0.00015898791787719146,-0.0006512506612476389,-2.5980221585821688e-05,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,delta_log_loss_improvement,-0.0004131885461017004,-0.00042287338217973804,-9.684836078037624e-06,0.0004780293887613695,-0.0013744921414446068,0.00047858020406870696,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,core_calibration_intercept,-0.0019100180663152147,-0.001333102704435725,0.0005769153618794896,0.05674839005012273,-0.11579842432228428,0.10800842803018913,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,extended_calibration_intercept,-0.04055428247790627,-0.04021663897134995,0.0003376435065563163,0.05529969080481162,-0.14871859216413336,0.061675151682470515,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,core_calibration_slope,1.0002524462908906,1.0011540417569316,0.0009015954660409609,0.028005404827084156,0.9481036054833714,1.0573448236566438,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,extended_calibration_slope,0.9757920421194171,0.976503604148751,0.0007115620293339786,0.026241436794460525,0.9269486536127264,1.029078820623919,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,absolute_intercept_deviation_change,-0.03864426441159105,-0.009964031606101419,0.028680232805489633,0.03484878355433798,-0.05406544275261537,0.053178046758145615,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
metabolic,xgboost,pooled_2005_2018,15956,1813,combined_fasting_weight,model0_paired_metabolic,model2_metabolic,absolute_slope_deviation_change,-0.023955511589692335,-0.006597088976136765,0.01735842261355557,0.02093448917985146,-0.031163769646907223,0.033217063576516305,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_AUROC,0.0010563996197374692,0.0010515841239076935,-4.8154958297757025e-06,0.0003596399962498309,0.00035352202291424883,0.0017345113371868774,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_PR_AUC,0.0024373204680348537,0.0025391392039965624,0.00010181873596170872,0.0015846613630009923,-0.0004466629441398176,0.005610577070177689,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_Brier_improvement,0.0001449454331342026,0.00014330452922058245,-1.6409039136201602e-06,7.029191317107331e-05,7.399331603045734e-06,0.00028485868013383497,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_log_loss_improvement,0.000508174970104025,0.0005054448346853786,-2.7301354186463987e-06,0.00021162949970777802,9.863079049066775e-05,0.0009231154321422511,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,core_calibration_intercept,-0.012314323075765592,-0.012083512716726943,0.0002308103590386492,0.035962138626816624,-0.08166083870216218,0.05983864929337084,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,extended_calibration_intercept,-0.013132485836242092,-0.012948823537445142,0.0001836622987969501,0.03693583943168676,-0.08417754415471478,0.059688505308632976,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,core_calibration_slope,0.9935460083829358,0.9939185851891489,0.0003725768062130541,0.017077632211897877,0.9613078054959914,1.028007138602001,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,extended_calibration_slope,0.9932332362706636,0.993569159369725,0.00033592309906138595,0.01729182726854497,0.9604328951069946,1.0283864320556986,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,absolute_intercept_deviation_change,-0.0008181627604765002,-0.0009786348852183788,-0.00016047212474187855,0.004018802348501713,-0.008805388566378162,0.006890508544469797,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,elastic_net,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,absolute_slope_deviation_change,-0.00031277211227220825,-0.0002452482834305492,6.752382884165904e-05,0.0021880750371300758,-0.004443699204772127,0.0041469277882562805,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_AUROC,0.0007864974984234108,0.0007818145714624368,-4.68292696097401e-06,0.0005891071555818653,-0.00033530411872416394,0.0018866540683700347,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_PR_AUC,-0.00042824522213785743,-0.0003875182636135112,4.07269585243462e-05,0.002236642681909495,-0.004744871843764402,0.003962345613058016,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_Brier_improvement,4.233111413831647e-05,4.232504809673428e-05,-6.066041582189236e-09,0.00010960839480932562,-0.0001681036392279556,0.00025021599326069583,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,delta_log_loss_improvement,0.00020965112080392756,0.00020992999547683538,2.78874672907819e-07,0.0003459746012855316,-0.00047214692847564804,0.000885706092927515,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,core_calibration_intercept,0.029417105422321524,0.029292913240257127,-0.00012419218206439694,0.037006746302087314,-0.04274126602544674,0.10101483781290142,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,extended_calibration_intercept,0.015206442447542006,0.01509839217725528,-0.00010805027028672545,0.03823329368513513,-0.058616475193243645,0.08973378013459697,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,core_calibration_slope,1.016022249103375,1.016263715344854,0.00024146624147891593,0.01707520653190637,0.9832618427474317,1.049860164875205,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,extended_calibration_slope,1.0082370587535365,1.0084446040152084,0.00020754526167188203,0.017347261769268214,0.974706714002213,1.042519291518135,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,absolute_intercept_deviation_change,0.014210662974779518,0.005336516129517287,-0.008874146845262231,0.0140071228310894,-0.023700254932217984,0.026452159259379063,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
inflammatory,xgboost,pooled_2005_2018,37482,4222,combined_mec_weight,model0_core,model3_inflammatory,absolute_slope_deviation_change,0.007785190349838489,0.003958610307437578,-0.0038265800424009105,0.007246367459158213,-0.012065673111531668,0.014930810232026692,0.95,percentile,rao_wu_rescaled_bootstrap,2000,2000,1.0,109
