comparison,algorithm,scope,n,events,core_model,extended_model,weight_variable,strategy,threshold_probability,net_benefit,bootstrap_se,ci_lower,ci_upper,valid_replicates,ci_level,ci_method
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.13,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.14,0.04046291633895094,0.00731511161542615,0.025581561854679212,0.05341612695263383,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.14,-8.23899565136274e-05,0.002759434133695758,-0.005881180951253579,0.005215183587185631,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.14,0.04038052638243731,0.007801373472593311,0.024399345647122674,0.054102146545614425,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.14,-0.05220647844650053,0.013854187810708908,-0.07919464054271927,-0.027145968791322476,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.14,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.15,0.03715300290002335,0.006994614074402187,0.02293199770517899,0.04951841535745251,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.15,0.001715140526860004,0.0024004978088711906,-0.003003277080134235,0.006260297083388496,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.15,0.038868143426883356,0.007402853828252263,0.023577138159077624,0.05176303660028631,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.15,-0.06458537819292995,0.014017178255540776,-0.09189104807851595,-0.03923003901239687,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.15,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.16,0.034200920532668225,0.00647308409316878,0.02079041597196004,0.04563682065720555,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_minus_core,0.16,0.002895123961347043,0.0025681356740281593,-0.00220271468165977,0.007773619156226271,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,extended_model,0.16,0.03709604449401527,0.007176684069421266,0.021735084455555127,0.04939915179131798,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_all,0.16,-0.07725901364760768,0.014184049425249595,-0.10488975103183162,-0.051601825191115884,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,treat_none,0.16,0.0,0.0,0.0,0.0,2000,0.95,survey_Rao_Wu_percentile
combined,elastic_net,2005-2006,1836,216,model0_paired_combined,model4_combined,combined_fasting_weight,core_model,0.17,0.034372370916800704,0.006740472918353944,0.020445516377101517,0.04640028963585714,2000,0.95,survey_Rao_Wu_percentile
